Display Name,Card Code
[VP23] QUARTER CENTURY ANNIVERSARY SELECTION,VP23
[VP22] PHARAONIC LEGEND PACK,VP22
[VP21] LEGENDARY MONSTERS PACK,VP21
[VP20] PRISMATIC SPECIAL PACK,VP20
[WP01] 20th ANNIVERSARYLEGEND SELECTION,WP01
[VP19] 20th ANNIVERSARY SECRET SELECTION,VP19
[VP18] 20th ANNIVERSARY LEGENDARY DRAGONS,VP18
[VP17] LINK VRAINS EDITION,VP17
[VP16] 20th ライバル・コレクション,VP16
[VP15] 20th レジェンダリー・コレクション,VP15
[VP14] スペシャルサモン・エボリューション,VP14
[VE11] V JUMP EDITION ペンデュラムVパック,VE11
[VE10] V JUMP EDITION 10,VE10
[VE09] V JUMP EDITION 9,VE09
[VE08] V JUMP EDITION 8,VE08
[VE07] V JUMP EDITION 7,VE07
[VE06] V JUMP EDITION 6,VE06
[VE05] V JUMP EDITION 5,VE05
[VE04] V JUMP EDITION 4,VE04
[VE03] V JUMP EDITION 3,VE03
[VE02] V JUMP EDITION 2,VE02
[VE01] V JUMP EDITION,VE01
[LE17] LIMITED EDITION 17,LE17
[LE16] LIMITED EDITION 16,LE16
[LE15] LIMITED EDITION 15,LE15
[LE14] LIMITED EDITION 14,LE14
[LE13] LIMITED EDITION 13,LE13
[LE12] LIMITED EDITION 12,LE12
[LE11] LIMITED EDITION 11,LE11
[LE10] LIMITED EDITION 10,LE10
[LE09] LIMITED EDITION 9,LE09
[LE8] LIMITED EDITION 8,LE8
[LE7] LIMITED EDITION 7,LE7
[LE6] LIMITED EDITION 6,LE6
[LE5] LIMITED EDITION 5,LE5
[LE4] LIMITED EDITION 4,LE4
[L3] LIMITED EDITION 3,L3
[L2] LIMITED EDITION 2,L2
[L1] LIMITED EDITION 1,L1
[pra] 商品同梱カード,pra
[prb] 書籍付属カード,prb
[prc] ゲーム同梱カード,prc
[prd] 大会関連カード,prd
[pre] その他プロモーションカード,pre
[TK01] トークンパック,TK01
[TK02] トークンパック Vol.2,TK02
[TK03] トークンパック Vol.3,TK03
[TK04] トークンパック Vol.4,TK04
[TK05] トークンパック Vol.5,TK05
